,EVENT_ID,GAME_ID,PITCH_SEQ_TX,PIT_ID,INN_CT,RBI_CT,PA_BALL_CT,BAT_DEST_ID,EVENT_OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,BAT_HOME_ID,PIT_COUNT,SCORE_DIFF,TEAM_WINS
143,64,ANA200108210,SX,coned001,7,0,0,0,2,2,8,1,102,6,True
144,58,ANA200108220,BCBX,ortir002,7,0,2,0,1,1,2,0,103,-1,False
145,61,ANA200108220,X,waket001,7,0,0,1,0,1,2,1,102,1,False
146,49,ANA200108230,BBBB,rappp001,6,0,4,1,0,4,3,0,94,1,False
147,54,ANA200108230,BX,fossc001,6,0,1,1,0,4,3,1,85,-1,False
148,49,ANA200108240,BCCFFBS,washj001,6,0,2,0,1,1,2,0,97,-1,False
149,63,ANA200108240,BX,petta001,7,2,1,1,0,2,2,1,115,0,False
150,42,ANA200108250,FBBCBH,valdi001,5,0,4,1,0,1,4,0,82,-3,False
151,70,ANA200108250,CBX,clemr001,7,0,1,0,1,2,7,1,123,5,True
152,55,ANA200108260,BSCFBBB,schos001,7,0,4,1,0,4,4,0,109,0,False
153,52,ANA200108260,CBX,herno001,6,0,1,0,1,4,4,1,108,0,False
154,47,ANA200109040,CBBX,washj001,7,2,2,4,0,0,2,0,104,-2,False
155,53,ANA200109050,CBCX,valdi001,7,1,1,4,0,3,0,0,99,3,True
156,51,ANA200109050,CBSBBX,durbc001,6,0,3,0,1,3,0,1,90,-3,False
157,61,ANA200109060,BBBCB,schos001,8,0,4,1,0,6,1,0,97,5,False
158,45,ANA200109060,BBFFBS,byrdp001,5,0,3,0,1,6,1,1,70,-5,False
159,61,ANA200109070,CCS,ortir002,7,0,0,0,1,7,3,0,89,4,True
160,19,ANA200109070,X,lohsk001,2,1,0,1,0,3,1,1,47,-2,False
161,41,ANA200109080,BX,rappp001,4,4,1,4,0,1,2,0,74,-1,False
162,70,ANA200109080,BBX,reedr002,7,0,2,0,1,3,6,1,105,3,True
163,53,ANA200109090,BSBX,washj001,7,0,2,0,1,0,3,0,100,-3,False
164,57,ANA200109090,CX,milte001,7,0,0,0,1,0,3,1,122,3,True
165,57,ANA200109100,CBBSFBFB,valdi001,7,0,4,1,0,0,3,0,119,-3,False
166,72,ANA200109100,BSFFX,garcf002,8,0,1,0,1,0,5,1,121,5,True
167,45,ANA200109280,BBSFBFB,valdi001,5,0,4,1,0,2,3,0,86,-1,False
168,74,ANA200109280,BX,myeta001,7,0,1,0,1,2,11,1,114,9,True
169,71,ANA200109290,CX,ortir002,8,0,0,1,1,10,2,0,103,8,True
170,60,ANA200109290,LBX,hellr001,7,0,1,1,0,6,2,1,94,-4,False
171,54,ANA200109300,BX,schos001,6,0,1,1,0,5,3,0,76,2,False
172,69,ANA200109300,BCCBFX,david002,7,0,2,0,1,6,5,1,107,-1,True
173,38,ANA200110020,X,washj001,4,0,0,0,1,3,6,0,65,-3,False
174,53,ANA200110020,BFBX,abbop001,5,0,2,0,1,3,7,1,112,4,True
175,53,ANA200110030,CX,wisem001,6,0,0,1,0,3,3,0,95,0,False
176,58,ANA200110030,CSFBX,garcf002,6,0,1,0,1,3,3,1,90,0,False
177,48,ANA200110040,BFBFX,valdi001,6,0,2,0,1,0,4,0,116,-4,False
178,57,ANA200110040,BBFCFS,muldm001,7,0,2,0,1,0,4,1,93,4,True
179,51,ANA200110050,CFX,ortir002,6,0,0,1,1,1,4,0,102,-3,False
180,57,ANA200110050,CSBFFX,hudst001,6,0,1,0,1,1,4,1,88,3,True
181,60,ANA200110060,SLBBC,schos001,7,0,2,0,1,3,6,0,111,-3,False
182,26,ANA200110060,CBBBCFS,hilje001,3,0,3,0,1,0,4,1,38,4,False
183,39,ANA200110070,CFBFFX,coopb001,5,0,1,0,1,1,2,0,67,-1,False
184,44,ANA200110070,CBBCX,zitob001,5,0,2,0,1,1,2,1,83,1,True
185,62,BAL200104020,BCBX,hentp001,9,0,2,1,1,1,1,0,104,0,False
186,51,BAL200104020,X,martp001,7,0,0,0,1,1,1,1,95,0,False
187,54,BAL200104040,BX,ponss001,8,0,1,2,0,0,3,0,101,-3,False
188,64,BAL200104050,BBSFX,johnj007,9,0,2,1,0,1,1,0,111,0,False
189,46,BAL200104050,BBCX,castf001,6,0,2,0,1,1,1,1,81,0,False
190,32,BAL200104140,BFC1BFFX,mcelc001,4,0,2,2,0,0,4,0,65,-4,False
191,41,BAL200104140,BCCFH,wilsp001,4,1,2,1,0,2,4,1,83,2,False
