,INN_CT,RBI_CT,PA_BALL_CT,EVENT_OUTS_CT,BAT_DEST_ID,SCORE_DIFF,PIT_COUNT
582,7,0,2,0,1,-4,84
583,7,0,1,1,0,4,100
584,6,0,1,1,0,-4,112
585,7,0,2,0,1,-6,122
586,3,2,1,0,1,3,77
587,4,0,4,0,1,-2,78
588,4,0,4,0,1,2,87
589,6,0,0,2,0,0,79
590,9,0,2,1,0,0,115
591,5,0,3,1,0,-2,98
592,3,0,3,1,0,2,58
593,3,3,1,0,2,1,54
594,7,0,4,0,1,-3,94
595,6,0,0,1,0,4,94
596,4,0,1,0,1,5,67
597,5,2,0,0,4,1,93
598,7,0,2,1,0,4,93
599,6,0,2,1,1,-4,85
600,7,0,0,0,2,-5,116
601,5,0,0,2,0,5,102
602,7,0,1,1,0,-1,108
603,6,2,1,0,2,-2,108
604,4,1,1,0,1,0,73
605,6,0,1,1,0,1,111
606,6,0,0,0,1,-1,111
607,6,0,1,1,1,2,105
608,6,0,1,1,0,3,110
609,6,0,2,0,2,-3,85
610,5,0,0,1,0,-1,82
611,4,0,0,1,0,2,71
612,5,0,2,1,0,1,95
613,5,1,2,0,2,0,96
614,6,0,1,1,0,-2,94
615,4,1,2,0,3,1,72
616,6,1,0,1,0,-1,76
617,6,0,3,1,0,-1,96
618,6,0,1,0,0,-7,101
619,2,1,2,0,1,-2,43
620,6,0,3,1,0,2,84
621,8,0,2,1,0,-2,116
622,8,0,0,1,0,-6,109
623,2,1,4,0,1,3,60
624,5,0,2,1,0,-2,82
625,6,0,3,0,1,4,84
626,6,0,1,1,0,-1,92
627,7,1,1,0,1,1,111
628,5,0,2,0,2,1,101
629,7,0,2,1,0,-4,106
630,7,0,1,0,2,4,91
631,7,0,0,1,0,-9,105
632,6,0,2,1,0,2,98
633,7,1,0,0,1,-2,106
634,4,1,2,0,2,0,70
635,6,0,1,1,0,3,113
636,5,0,0,1,0,3,88
637,5,1,1,0,1,-2,94
638,5,0,2,1,0,2,102
639,5,1,0,0,1,-1,71
640,8,0,1,1,0,-8,86
641,5,1,1,0,2,4,83
642,8,0,0,0,2,0,100
643,7,0,1,1,0,1,102
644,6,0,0,1,0,1,97
645,6,1,0,0,1,1,94
646,6,0,4,0,1,-5,109
647,3,0,1,1,0,4,58
648,7,1,0,1,0,4,95
649,6,0,0,1,0,-4,83
650,7,0,2,0,1,-5,83
651,5,2,3,0,4,4,80
652,7,0,1,1,0,0,98
653,7,0,0,1,0,0,91
654,8,0,3,1,0,0,99
655,8,0,2,1,0,0,109
656,6,0,4,0,1,1,100
657,5,0,2,1,0,-1,81
658,7,1,0,0,2,0,92
659,6,0,2,0,1,0,101
660,7,0,0,1,0,0,100
661,6,0,2,0,1,0,66
662,5,0,3,1,0,-3,108
663,5,0,1,0,1,3,82
664,7,0,4,0,1,2,108
665,8,0,2,1,0,-4,104
666,5,0,1,1,0,2,103
667,5,0,0,2,0,-2,62
668,7,0,1,1,0,0,96
669,6,0,1,1,0,0,98
670,4,0,1,0,1,3,47
671,5,0,0,0,2,-3,70
672,7,0,4,0,1,-1,115
673,7,0,4,0,1,2,94
674,8,0,2,1,0,-7,127
675,5,0,0,0,1,3,97
676,7,0,2,1,0,0,109
677,6,0,0,1,0,0,123
678,6,1,0,1,0,-4,99
679,5,0,1,1,1,4,96
680,7,0,1,0,1,2,88
681,7,0,4,0,1,-4,87
682,3,0,2,1,0,-4,54
683,4,0,2,1,0,5,101
684,7,0,0,1,0,-8,112
685,5,0,0,1,1,7,98
686,4,1,2,0,1,4,66
687,7,0,2,2,0,-7,107
688,8,0,0,1,0,3,121
689,8,0,2,1,0,-3,110
690,7,1,2,0,1,0,94
691,6,0,2,1,0,0,99
692,6,0,3,1,0,-4,97
693,4,0,0,0,1,2,74
694,5,1,4,0,1,-2,83
695,5,0,2,0,1,3,85
696,5,0,2,0,1,1,112
697,7,0,0,1,0,-4,118
698,7,0,4,0,1,1,72
699,7,0,1,0,2,-3,97
700,6,0,0,0,1,-1,83
701,3,0,4,0,1,3,64
702,7,0,2,1,0,-3,108
703,5,0,1,1,0,5,86
704,2,0,3,0,2,5,49
705,8,2,1,0,4,-8,96
706,7,0,3,1,0,0,95
707,7,0,2,1,0,0,115
708,8,0,4,0,1,0,113
709,5,0,0,1,0,2,94
710,5,0,0,1,0,2,76
711,6,0,1,1,0,-2,92
712,5,0,2,0,1,4,89
713,8,0,1,0,2,-3,111
714,5,0,4,0,1,2,81
715,7,0,2,1,0,2,111
716,2,0,0,1,0,2,34
717,2,0,1,0,1,0,29
718,6,0,4,0,1,2,97
719,7,0,1,1,0,-2,94
720,4,1,0,0,1,3,66
721,6,2,2,0,4,-7,113
722,2,1,1,0,2,1,40
723,5,2,1,0,4,-5,94
724,7,0,3,1,0,-1,122
725,6,0,1,1,0,1,98
726,6,0,0,1,0,-4,89
727,4,2,0,0,2,2,70
728,4,2,0,0,4,5,69
729,6,0,2,1,0,-4,96
730,8,2,1,0,4,-3,108
731,5,0,3,1,0,4,103
732,7,0,0,1,0,-7,97
733,3,0,1,0,2,7,60
734,4,0,3,0,1,0,79
735,4,0,4,0,1,0,85
736,5,0,3,1,0,1,79
737,6,0,2,1,0,0,95
738,6,0,2,1,0,3,87
739,6,0,1,0,3,-3,90
740,7,0,0,1,0,-3,79
741,6,0,2,1,0,0,85
742,6,0,1,0,1,-4,106
743,6,0,3,1,0,4,102
744,7,0,4,0,1,-1,108
745,7,0,0,1,0,1,99
746,7,0,3,0,2,3,105
747,8,0,0,0,2,-3,100
748,5,0,2,1,0,-3,71
749,3,1,3,0,2,2,73
750,7,0,2,1,0,4,95
751,4,0,2,1,0,-2,48
752,3,3,3,0,4,5,43
753,8,0,3,1,0,-7,100
754,6,0,0,1,0,0,95
755,5,0,2,1,0,0,100
756,4,0,2,0,1,5,60
757,6,0,1,1,0,-12,77
758,7,0,2,1,0,0,81
759,4,0,1,1,1,1,75
760,7,0,1,0,2,-3,95
761,3,0,3,0,1,4,46
762,7,0,4,0,1,-11,112
763,5,0,4,0,1,2,97
764,7,0,0,1,0,-2,121
765,8,0,1,1,0,-1,111
766,7,0,0,1,0,1,110
767,5,0,3,1,0,-3,82
768,3,0,1,1,0,5,91
769,7,0,2,1,0,-5,103
770,6,2,3,0,4,3,90
771,3,0,0,0,1,4,46
772,7,0,2,0,1,-2,112
773,7,0,1,1,0,2,97
774,7,0,0,1,0,4,105
775,9,1,3,0,4,-4,97
776,7,0,2,1,0,-7,114
777,4,0,0,1,0,5,84
778,7,0,3,1,0,-1,123
779,6,0,1,0,1,1,108
780,6,0,1,1,1,-2,111
781,7,0,0,1,0,2,110
782,4,1,2,0,1,3,70
783,6,0,0,1,0,-8,88
784,5,0,0,2,0,3,107
785,6,0,1,0,2,-2,97
786,4,1,3,0,4,0,73
787,4,0,3,1,0,-1,73
788,6,1,2,0,1,1,128
789,7,0,2,1,0,-2,96
790,6,0,0,1,0,-8,102
791,5,1,0,0,1,1,106
792,8,0,0,1,1,-5,115
793,5,0,4,0,1,3,88
794,8,0,2,0,1,2,107
795,8,0,1,0,1,-2,98
796,9,0,1,1,0,1,125
797,7,0,1,0,1,-1,86
798,7,1,1,0,1,-3,99
799,3,0,1,1,1,0,51
800,7,0,2,1,0,0,118
801,7,0,1,1,0,0,125
802,7,0,3,0,1,-2,97
803,5,0,1,1,0,2,99
804,8,0,0,1,0,-9,121
805,4,0,1,1,0,4,83
806,8,0,0,1,0,-2,85
807,8,0,1,1,0,-1,93
808,6,0,0,1,0,0,97
809,5,0,2,0,1,4,101
810,7,1,1,0,2,-3,115
811,6,0,1,1,0,5,108
812,6,0,2,0,1,-5,84
813,7,0,2,1,0,-1,105
814,6,0,3,1,0,1,97
815,4,0,0,1,0,4,70
816,7,2,0,0,4,-5,96
817,7,0,3,1,0,3,124
818,7,1,3,0,2,4,101
819,7,0,0,1,0,-5,102
820,6,0,2,1,0,5,120
821,7,0,0,1,0,-4,83
822,3,0,4,0,1,4,73
823,8,0,4,0,1,-2,84
824,5,0,1,2,0,2,108
825,4,0,0,1,0,3,73
826,5,0,2,1,0,-5,94
827,8,0,3,1,0,-5,111
828,7,0,1,1,0,5,105
829,6,0,2,0,2,2,108
830,6,0,4,0,1,-2,104
831,7,0,0,1,0,-2,119
832,7,0,4,0,1,2,91
833,7,0,4,0,1,-2,116
834,6,0,1,1,0,2,97
835,5,1,2,0,1,2,101
